"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.407,,10/01/2020,09/30/2021
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.984,,10/01/2020,09/30/2021
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.648,,10/01/2020,09/30/2021
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.900,,10/01/2020,09/30/2021
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.750,,10/01/2020,09/30/2021
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),1.272,,10/01/2020,09/30/2021
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.594,,10/01/2020,09/30/2021
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.548,,10/01/2020,09/30/2021
AK,HAI_3_SIR,SSI - Colon Surgery,0.987,,10/01/2020,09/30/2021
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.438,,10/01/2020,09/30/2021
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,3.322,,10/01/2020,09/30/2021
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.377,,10/01/2020,09/30/2021
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.657,,10/01/2020,09/30/2021
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.552,,10/01/2020,09/30/2021
AK,HAI_5_SIR,MRSA Bacteremia,1.033,,10/01/2020,09/30/2021
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.209,,10/01/2020,09/30/2021
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.414,,10/01/2020,09/30/2021
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.298,,10/01/2020,09/30/2021
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,1.123,,10/01/2020,09/30/2021
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.352,,10/01/2020,09/30/2021
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.233,,10/01/2020,09/30/2021
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.787,,10/01/2020,09/30/2021
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.937,,10/01/2020,09/30/2021
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.859,,10/01/2020,09/30/2021
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.403,,10/01/2020,09/30/2021
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.615,,10/01/2020,09/30/2021
AL,HAI_3_SIR,SSI - Colon Surgery,0.501,,10/01/2020,09/30/2021
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.476,,10/01/2020,09/30/2021
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.886,,10/01/2020,09/30/2021
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.657,,10/01/2020,09/30/2021
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.373,,10/01/2020,09/30/2021
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.710,,10/01/2020,09/30/2021
AL,HAI_5_SIR,MRSA Bacteremia,1.534,,10/01/2020,09/30/2021
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.494,,10/01/2020,09/30/2021
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.564,,10/01/2020,09/30/2021
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.528,,10/01/2020,09/30/2021
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,1.174,,10/01/2020,09/30/2021
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.489,,10/01/2020,09/30/2021
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.324,,10/01/2020,09/30/2021
AR,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.688,,10/01/2020,09/30/2021
AR,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.889,,10/01/2020,09/30/2021
AR,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.784,,10/01/2020,09/30/2021
AR,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.745,,10/01/2020,09/30/2021
AR,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.155,,10/01/2020,09/30/2021
AR,HAI_3_SIR,SSI - Colon Surgery,0.933,,10/01/2020,09/30/2021
AR,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.425,,10/01/2020,09/30/2021
AR,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.078,,10/01/2020,09/30/2021
AR,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.695,,10/01/2020,09/30/2021
AR,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.495,,10/01/2020,09/30/2021
AR,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.998,,10/01/2020,09/30/2021
AR,HAI_5_SIR,MRSA Bacteremia,1.733,,10/01/2020,09/30/2021
AR,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.339,,10/01/2020,09/30/2021
AR,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.428,,10/01/2020,09/30/2021
AR,HAI_6_SIR,Clostridium Difficile (C.Diff),0.382,,10/01/2020,09/30/2021
AS,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,10/01/2020,09/30/2021
AS,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2020,09/30/2021
AS,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2020,09/30/2021
